YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP,URBANICITY,LIV_TYPE,UNITS,OUTSIDE,GATED,RESTRICTED,INCOME,RACE_HOH,PRINCIPAL_REL,PRINCIPAL_AGE,PRINCIPAL_MARITAL,PRINCIPAL_SEX,PRINCIPAL_ARMFOR,PRINCIPAL_ED,PRINCIPAL_RACE,PRINCIPAL_HISP,REF_AGE,REF_MARITAL,REF_SEX,REF_ARMFOR,REF_ED,REF_RACE,REF_HISP,NUM_OVER12,NUM_UNDER12,NUM_REPORT,BUSINESS,BUSINESS_SIGN,BROKEN_IN,NUM_BROKEN_IN,NUM_VEHICLE,VEHICLE_THEFT,NUM_VEHICLE_THEFT,COLLEGE,PUBLIC,INDIAN_RES,FAMILY_STRUCTURE,REGION,PRINCIPAL_SCHOOL,REF_SCHOOL,REF_REL,AGE,MARITAL,SEX,ARMFOR,ED,RACE,HISP,STOLEN,NUM_STOLEN,ATTACK_LOC,WEAPON,NUM_WEAPON,OFFENDER_KNOWN,NUM_OFFENDER_KNOWN,FORCED_SEX,NUM_FORCED_SEX,POLICE,NO_POLICE,DIS_HEAR,DIS_VIS,DIS_LEARN,DIS_PHYS,DIS_DRESS_BATHE,DIS_LEAVING_HOME,CITIZENSHIP,SEXUAL_ORIENTATION,ACTIVE_DUTY,JOB_WEEK,JOB_6MO,JOB_2WEEK,JOB,EMP_TYPE,JOB_LOC,JOB_COLLEGE,ATT_COLLEGE,NUM_INCIDENTS
2020.1,1.6021E+24,8,21,2,1,1,9,2,2,12,99,11,41,1,2,2,42,1,2,41,1,2,2,42,1,2,4,2,1,2,9,2,999,4,2,999,2,2,2,17,4,4,4,11,41,1,2,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,2,2,1,1,9,9,27,1,1,1,4,1
2020.1,1.60211E+24,9,31,2,1,1,9,2,2,16,99,2,50,1,2,2,27,1,2,46,1,1,2,27,1,2,3,0,1,2,9,2,999,3,2,999,2,2,2,5,4,4,4,11,46,1,1,2,27,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,26,1,1,2,4,1
2020.1,1.60214E+24,7,27,1,1,2,1,2,2,16,99,11,34,1,2,2,43,1,2,34,1,2,2,43,1,2,2,0,1,2,9,2,999,1,2,999,2,9,2,30,4,4,4,10,34,1,1,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,3,1,1,9,9,27,1,1,2,4,1
2020.1,1.60214E+24,10,31,1,1,6,2,2,1,13,99,11,79,3,2,9,43,1,2,79,3,2,9,43,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,32,4,4,4,11,79,3,2,9,43,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,1,2,1,1,2,1,2,2,9,99,9,9,9,4,1
2020.1,1.60214E+24,4,11,2,1,1,9,2,2,18,99,2,49,1,2,2,43,1,2,51,1,1,2,42,1,2,2,1,1,2,9,2,999,3,2,999,2,9,2,4,4,4,4,11,51,1,1,2,42,1,2,2,999,2,1,1,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60214E+24,4,17,2,1,1,9,1,1,18,99,11,76,1,1,9,44,1,2,76,1,1,9,44,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,16,4,4,4,11,76,1,1,9,44,1,2,1,1,2,2,999,2,999,2,999,2,2,1,2,2,1,2,2,5,2,1,1,9,9,27,1,4,2,4,1
2020.1,1.60214E+24,18,31,2,1,5,1,2,2,15,99,11,28,5,1,2,42,3,2,28,5,1,2,42,3,2,3,0,1,2,9,2,999,3,2,999,2,2,2,14,4,4,4,11,28,5,1,2,42,3,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,23,1,1,2,4,1
2020.1,1.60214E+24,11,37,2,1,5,1,2,2,13,99,11,39,1,2,2,42,1,2,39,1,2,2,42,1,2,3,2,1,2,9,2,999,4,1,1,1,2,2,17,4,4,4,11,39,1,2,2,42,1,2,1,2,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,2,1,1,27,3,3,2,4,1
2020.1,1.60214E+24,6,27,2,1,1,9,2,2,15,99,11,39,3,2,2,42,1,2,39,3,2,2,42,1,2,1,0,1,2,9,2,999,1,2,999,2,9,2,32,4,4,4,11,39,3,2,2,42,1,2,2,999,2,2,999,1,1,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,2,1,1,2,4,1
2020.1,1.60226E+24,11,31,1,1,6,2,1,1,5,99,11,34,5,2,2,41,4,2,34,5,2,2,41,4,2,1,0,1,2,9,2,999,0,9,999,2,2,2,32,1,4,4,11,34,5,2,2,41,4,2,2,999,2,2,999,1,1,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,23,1,1,2,4,1
2020.1,1.60232E+24,3,21,2,1,1,9,2,2,16,99,11,43,1,2,2,28,1,2,43,1,2,2,28,1,2,4,1,1,2,9,2,999,3,2,999,2,9,2,20,3,4,4,1,46,1,1,2,41,1,2,2,999,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60243E+24,6,21,2,1,5,1,2,2,13,99,11,35,3,2,2,42,1,2,35,3,2,2,42,1,2,2,1,1,2,9,2,999,1,2,999,2,2,2,28,4,4,4,11,35,3,2,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,4,1,9,9,27,3,1,2,4,1
